E3_Cristal Violet;;;;;;;;;;
;;;;;;;;;;
Solution 1;;;Solution 2;;;Solution 3;;;Solution 4;
0;0.617;;0;0.575;;0;0.593;;0;0.57
10;0.575;;10;;;10;0.582;;10;0.56
20;0.538;;20;0.534;;20;;;20;0.537
30;0.493;;30;0.515;;30;0.556;;30;0.523
40;0.458;;40;0.493;;40;0.551;;40;0.507
50;0.413;;50;0.47;;50;0.522;;50;0.497
60;0.395;;60;0.451;;60;0.51;;60;0.489
70;0.366;;70;0.434;;70;0.494;;70;0.474
80;0.339;;80;0.412;;80;0.485;;80;0.462
90;0.314;;90;0.398;;90;0.474;;90;0.445
100;0.291;;100;0.381;;100;0.461;;100;0.438
110;0.27;;110;0.362;;110;0.446;;110;0.427
120;0.25;;120;0.347;;120;0.434;;120;0.417
130;0.232;;130;0.333;;130;0.423;;130;0.407
140;0.215;;140;0.319;;140;0.411;;140;0.397
150;0.2;;150;0.306;;150;0.4;;150;
160;0.185;;160;0.293;;160;0.39;;160;0.383
170;0.171;;170;0.281;;170;0.38;;170;0.368
180;0.159;;180;0.269;;180;0.369;;180;0.36
190;0.147;;190;;;190;0.359;;190;0.35
200;0.137;;200;0.247;;200;0.35;;200;0.341
210;0.127;;210;0.237;;210;0.34;;210;0.332
220;0.118;;220;0.227;;220;0.331;;220;0.324
230;0.109;;230;0.217;;230;0.322;;230;0.316
240;0.1;;240;0.208;;240;0.313;;240;
270;0.087;;270;0.183;;280;0.281;;270;0.285
300;0.07;;300;0.16;;300;0.265;;300;0.265
330;0.056;;330;0.141;;330;0.244;;330;0.246
360;0.045;;360;0.124;;360;0.225;;360;0.227
390;0.037;;390;0.11;;390;0.207;;390;0.21
420;0.029;;420;0.095;;420;0.19;;420;0.194
450;0.024;;480;0.073;;480;0.16;;480;0.166
480;0.02;;540;0.056;;540;0.133;;540;0.142
510;0.017;;600;0.043;;600;0.111;;600;0.121
540;0.015;;720;0.025;;660;0.094;;660;0.142
570;0.009;;;;;720;0.08;;720;0.087
630;0.007;;;;;;;;;
690;0.005;;;;;;;;;
750;0.004;;;;;;;;;
870;0.003;;;;;;;;;
990;0.003;;;;;;;;;